HomeTeam,AwayTeam,HomeGoals,AwayGoals,Date,win
SpVgg Unterhaching,Preußen Münster,2,1,2011-12-17T14:00:00,h
Chemnitzer FC,1. FC Saarbrücken,1,0,2011-12-17T14:00:00,h
Rot-Weiss Oberhausen,Wacker Burghausen,2,0,2011-12-17T14:00:00,h
FC Carl Zeiss Jena,FC Rot-Weiss Erfurt,1,0,2011-12-17T14:00:00,h
VfB Stuttgart II,Arminia Bielefeld,2,5,2011-12-17T14:00:00,a
VfL Osnabrück,SV Darmstadt 98,4,1,2011-12-17T14:00:00,h
Kickers Offenbach,1. FC Heidenheim 1846,1,0,2011-12-17T14:00:00,h
Werder Bremen II,SV Wehen Wiesbaden,1,1,2012-01-24T19:00:00,d
VfR Aalen,SV Sandhausen,2,0,2012-02-07T19:00:00,h
Rot-Weiss Oberhausen,Preußen Münster,2,2,2012-01-21T13:30:00,d
SV Darmstadt 98,SV Sandhausen,4,1,2012-01-21T14:00:00,h
FC Carl Zeiss Jena,1. FC Saarbrücken,1,1,2012-01-21T14:00:00,d
SV Babelsberg 03,Wacker Burghausen,0,2,2012-01-21T14:00:00,d
Werder Bremen II,FC Rot-Weiss Erfurt,1,1,2012-01-21T14:00:00,d
VfR Aalen,Arminia Bielefeld,3,1,2012-01-21T14:00:00,h
Chemnitzer FC,1. FC Heidenheim 1846,3,0,2012-01-21T14:00:00,h
VfB Stuttgart II,Jahn Regensburg,1,0,2012-01-31T19:00:00,h
VfL Osnabrück,SV Wehen Wiesbaden,2,0,2012-02-14T19:00:00,h
SpVgg Unterhaching,Kickers Offenbach,2,0,2012-03-07T19:00:00,h
FC Rot-Weiss Erfurt,VfB Stuttgart II,3,1,2012-01-28T14:00:00,h
Wacker Burghausen,Werder Bremen II,3,1,2012-01-28T14:00:00,h
1. FC Saarbrücken,SV Babelsberg 03,2,2,2012-01-28T14:00:00,d
1. FC Heidenheim 1846,Rot-Weiss Oberhausen,1,0,2012-01-28T14:00:00,h
Kickers Offenbach,Chemnitzer FC,0,1,2012-01-28T14:00:00,a
SV Sandhausen,SpVgg Unterhaching,3,1,2012-01-28T14:00:00,h
Arminia Bielefeld,SV Darmstadt 98,3,2,2012-01-28T14:00:00,h
SV Wehen Wiesbaden,VfR Aalen,1,3,2012-01-28T14:00:00,a
Jahn Regensburg,VfL Osnabrück,0,3,2012-03-21T19:00:00,a
Preußen Münster,FC Carl Zeiss Jena,1,0,2012-03-27T19:00:00,h
SV Babelsberg 03,Preußen Münster,0,2,2012-02-03T19:00:00,a
Arminia Bielefeld,SV Sandhausen,1,3,2012-02-04T14:00:00,a
