FC Augsburg,Borussia Mönchengladbach,1,1,2012-11-25T17:30:00
Borussia Dortmund,Fortuna Düsseldorf,1,1,2012-11-27T20:00:00
Hannover 96,SpVgg Greuther Fürth,2,0,2012-11-27T20:00:00
Hamburger SV,FC Schalke 04,3,1,2012-11-27T20:00:00
Eintracht Frankfurt,1. FSV Mainz 05,1,3,2012-11-27T20:00:00
Borussia Mönchengladbach,VfL Wolfsburg,2,0,2012-11-28T20:00:00
VfB Stuttgart,FC Augsburg,2,1,2012-11-28T20:00:00
Werder Bremen,Bayer Leverkusen,1,4,2012-11-28T20:00:00
SC Freiburg,FC Bayern,0,1,2012-11-28T20:00:00
1. FC Nürnberg,TSG 1899 Hoffenheim,4,2,2012-11-28T20:45:00
Fortuna Düsseldorf,Eintracht Frankfurt,2,0,2012-11-30T20:30:00
FC Schalke 04,Borussia Mönchengladbach,1,1,2012-12-01T15:30:00
1. FSV Mainz 05,Hannover 96,2,1,2012-12-01T15:30:00
FC Augsburg,SC Freiburg,1,1,2012-12-01T15:30:00
SpVgg Greuther Fürth,VfB Stuttgart,0,1,2012-12-01T15:30:00
Bayer Leverkusen,1. FC Nürnberg,1,0,2012-12-01T15:30:00
FC Bayern,Borussia Dortmund,1,1,2012-12-01T18:30:00
TSG 1899 Hoffenheim,Werder Bremen,1,4,2012-12-02T15:30:00
VfL Wolfsburg,Hamburger SV,1,1,2012-12-02T17:30:00
Hamburger SV,TSG 1899 Hoffenheim,2,0,2012-12-07T20:30:00
VfB Stuttgart,FC Schalke 04,3,1,2012-12-08T15:30:00
Borussia Dortmund,VfL Wolfsburg,2,3,2012-12-08T15:30:00
1. FC Nürnberg,Fortuna Düsseldorf,2,0,2012-12-08T15:30:00
SC Freiburg,SpVgg Greuther Fürth,1,0,2012-12-08T15:30:00
FC Augsburg,FC Bayern,0,2,2012-12-08T15:30:00
Eintracht Frankfurt,Werder Bremen,4,1,2012-12-08T18:30:00
Borussia Mönchengladbach,1. FSV Mainz 05,2,0,2012-12-09T15:30:00
Hannover 96,Bayer Leverkusen,3,2,2012-12-09T17:30:00
FC Bayern,Borussia Mönchengladbach,1,1,2012-12-14T20:30:00
Bayer Leverkusen,Hamburger SV,3,0,2012-12-15T15:30:00
VfL Wolfsburg,Eintracht Frankfurt,0,2,2012-12-15T15:30:00
1. FSV Mainz 05,VfB Stuttgart,3,1,2012-12-15T15:30:00
SpVgg Greuther Fürth,FC Augsburg,1,1,2012-12-15T15:30:00
Fortuna Düsseldorf,Hannover 96,2,1,2012-12-15T15:30:00
FC Schalke 04,SC Freiburg,1,3,2012-12-15T18:30:00
TSG 1899 Hoffenheim,Borussia Dortmund,1,3,2012-12-16T15:30:00
Werder Bremen,1. FC Nürnberg,0,0,2012-12-16T17:30:00
FC Schalke 04,Hannover 96,5,4,2013-01-18T20:30:00
Bayer Leverkusen,Eintracht Frankfurt,2,0,2013-01-19T15:30:00
TSG 1899 Hoffenheim,Borussia Mönchengladbach,0,0,2013-01-19T15:30:00
VfL Wolfsburg,VfB Stuttgart,0,0,2013-01-19T15:30:00
1. FSV Mainz 05,SC Freiburg,0,0,2013-01-19T15:30:00
FC Bayern,SpVgg Greuther Fürth,1,0,2013-01-19T15:30:00
Werder Bremen,Borussia Dortmund,0,5,2013-01-19T18:30:00
1. FC Nürnberg,Hamburger SV,1,1,2013-01-20T15:30:00
Fortuna Düsseldorf,FC Augsburg,2,3,2013-01-20T17:30:00
Borussia Dortmund,1. FC Nürnberg,3,0,2013-01-25T20:30:00
SpVgg Greuther Fürth,1. FSV Mainz 05,0,3,2013-01-26T15:30:00
Borussia Mönchengladbach,Fortuna Düsseldorf,2,0,2013-01-26T15:30:00
FC Augsburg,FC Schalke 04,0,0,2013-01-26T15:30:00
Hannover 96,VfL Wolfsburg,2,0,2013-01-26T15:30:00
Eintracht Frankfurt,TSG 1899 Hoffenheim,2,1,2013-01-26T15:30:00
SC Freiburg,Bayer Leverkusen,0,0,2013-01-26T18:30:00
Hamburger SV,Werder Bremen,3,2,2013-01-27T15:30:00
VfB Stuttgart,FC Bayern,0,2,2013-01-27T17:30:00
Werder Bremen,Hannover 96,2,0,2013-02-01T20:30:00
VfL Wolfsburg,FC Augsburg,1,1,2013-02-02T15:30:00
FC Schalke 04,SpVgg Greuther Fürth,1,2,2013-02-02T15:30:00
1. FSV Mainz 05,FC Bayern,0,3,2013-02-02T15:30:00
Fortuna Düsseldorf,VfB Stuttgart,3,1,2013-02-02T15:30:00
TSG 1899 Hoffenheim,SC Freiburg,2,1,2013-02-02T15:30:00
Hamburger SV,Eintracht Frankfurt,0,2,2013-02-02T18:30:00
1. FC Nürnberg,Borussia Mönchengladbach,2,1,2013-02-03T15:30:00
Bayer Leverkusen,Borussia Dortmund,2,3,2013-02-03T17:30:00
Hannover 96,TSG 1899 Hoffenheim,1,0,2013-02-09T15:30:00
Borussia Dortmund,Hamburger SV,1,4,2013-02-09T15:30:00
Borussia Mönchengladbach,Bayer Leverkusen,3,3,2013-02-09T15:30:00
SpVgg Greuther Fürth,VfL Wolfsburg,0,1,2013-02-09T15:30:00
VfB Stuttgart,Werder Bremen,1,4,2013-02-09T15:30:00
Eintracht Frankfurt,1. FC Nürnberg,0,0,2013-02-09T15:30:00
FC Bayern,FC Schalke 04,4,0,2013-02-09T18:30:00
FC Augsburg,1. FSV Mainz 05,1,1,2013-02-10T15:30:00
SC Freiburg,Fortuna Düsseldorf,1,0,2013-02-10T17:30:00
VfL Wolfsburg,FC Bayern,0,2,2013-02-15T20:30:00
Werder Bremen,SC Freiburg,2,3,2013-02-16T15:30:00
Bayer Leverkusen,FC Augsburg,2,1,2013-02-16T15:30:00
Fortuna Düsseldorf,SpVgg Greuther Fürth,1,0,2013-02-16T15:30:00
1. FSV Mainz 05,FC Schalke 04,2,2,2013-02-16T15:30:00
Hamburger SV,Borussia Mönchengladbach,1,0,2013-02-16T15:30:00
Borussia Dortmund,Eintracht Frankfurt,3,0,2013-02-16T18:30:00
1. FC Nürnberg,Hannover 96,2,2,2013-02-17T15:30:00
TSG 1899 Hoffenheim,VfB Stuttgart,0,1,2013-02-17T17:30:00
SC Freiburg,Eintracht Frankfurt,0,0,2013-02-22T20:30:00
FC Bayern,Werder Bremen,2,0,2013-02-23T15:30:00
VfB Stuttgart,1. FC Nürnberg,0,0,2013-02-23T15:30:00
FC Augsburg,TSG 1899 Hoffenheim,1,0,2013-02-23T15:30:00
Hannover 96,Hamburger SV,3,1,2013-02-23T15:30:00
1. FSV Mainz 05,VfL Wolfsburg,1,1,2013-02-23T15:30:00
FC Schalke 04,Fortuna Düsseldorf,2,1,2013-02-23T18:30:00
Borussia Mönchengladbach,Borussia Dortmund,0,1,2013-02-24T15:30:00
SpVgg Greuther Fürth,Bayer Leverkusen,0,0,2013-02-24T17:30:00
Eintracht Frankfurt,Borussia Mönchengladbach,0,1,2013-03-01T20:30:00
Borussia Dortmund,Hannover 96,2,1,2013-03-02T15:30:00
VfL Wolfsburg,FC Schalke 04,1,4,2013-03-02T15:30:00
Werder Bremen,FC Augsburg,0,1,2013-03-02T15:30:00
1. FC Nürnberg,SC Freiburg,1,0,2013-03-02T15:30:00
Hamburger SV,SpVgg Greuther Fürth,1,1,2013-03-02T15:30:00
Bayer Leverkusen,VfB Stuttgart,2,1,2013-03-02T18:30:00
TSG 1899 Hoffenheim,FC Bayern,0,1,2013-03-03T15:30:00
Fortuna Düsseldorf,1. FSV Mainz 05,1,1,2013-03-03T17:30:00
FC Augsburg,1. FC Nürnberg,1,2,2013-03-08T20:30:00
1. FSV Mainz 05,Bayer Leverkusen,1,0,2013-03-09T15:30:00
SC Freiburg,VfL Wolfsburg,2,5,2013-03-09T15:30:00
SpVgg Greuther Fürth,TSG 1899 Hoffenheim,0,3,2013-03-09T15:30:00
FC Schalke 04,Borussia Dortmund,2,1,2013-03-09T15:30:00
FC Bayern,Fortuna Düsseldorf,3,2,2013-03-09T15:30:00
Borussia Mönchengladbach,Werder Bremen,1,1,2013-03-09T18:30:00
Hannover 96,Eintracht Frankfurt,0,0,2013-03-10T15:30:00
VfB Stuttgart,Hamburger SV,0,1,2013-03-10T17:30:00
VfL Wolfsburg,Fortuna Düsseldorf,1,1,2013-03-15T20:30:00
1. FC Nürnberg,FC Schalke 04,3,0,2013-03-16T15:30:00
Borussia Dortmund,SC Freiburg,5,1,2013-03-16T15:30:00
TSG 1899 Hoffenheim,1. FSV Mainz 05,0,0,2013-03-16T15:30:00
Hamburger SV,FC Augsburg,0,1,2013-03-16T15:30:00
Werder Bremen,SpVgg Greuther Fürth,2,2,2013-03-16T15:30:00
Bayer Leverkusen,FC Bayern,1,2,2013-03-16T18:30:00
Eintracht Frankfurt,VfB Stuttgart,1,2,2013-03-17T15:30:00
Borussia Mönchengladbach,Hannover 96,1,0,2013-03-17T17:30:00
VfB Stuttgart,Borussia Dortmund,1,2,2013-03-30T15:30:00
SC Freiburg,Borussia Mönchengladbach,2,0,2013-03-30T15:30:00
Fortuna Düsseldorf,Bayer Leverkusen,1,4,2013-03-30T15:30:00
FC Augsburg,Hannover 96,0,2,2013-03-30T15:30:00
1. FSV Mainz 05,Werder Bremen,1,1,2013-03-30T15:30:00
FC Schalke 04,TSG 1899 Hoffenheim,3,0,2013-03-30T15:30:00
FC Bayern,Hamburger SV,9,2,2013-03-30T18:30:00
VfL Wolfsburg,1. FC Nürnberg,2,2,2013-03-31T15:30:00
SpVgg Greuther Fürth,Eintracht Frankfurt,2,3,2013-03-31T17:30:00
TSG 1899 Hoffenheim,Fortuna Düsseldorf,3,0,2013-04-05T20:30:00
Borussia Dortmund,FC Augsburg,4,2,2013-04-06T15:30:00
Borussia Mönchengladbach,SpVgg Greuther Fürth,1,0,2013-04-06T15:30:00
Eintracht Frankfurt,FC Bayern,0,1,2013-04-06T15:30:00
Werder Bremen,FC Schalke 04,0,2,2013-04-06T15:30:00
Bayer Leverkusen,VfL Wolfsburg,1,1,2013-04-06T15:30:00
Hamburger SV,SC Freiburg,0,1,2013-04-06T18:30:00
1. FC Nürnberg,1. FSV Mainz 05,2,1,2013-04-07T15:30:00
Hannover 96,VfB Stuttgart,0,0,2013-04-07T17:30:00
